model,channel,total_credit,avg_credit,n_touches,avg_percentage
last_click,display,4400.0,100.0,44,100.0
last_click,email,3900.0,100.0,39,100.0
last_click,facebook,4200.0,100.0,42,100.0
last_click,google_search,10300.0,100.0,103,100.0
last_click,instagram,4100.0,100.0,41,100.0
last_click,organic,2500.0,100.0,25,100.0
last_click,tiktok,4300.0,100.0,43,100.0
linear,display,4446.75,23.53,189,23.53
linear,email,4374.17,22.55,194,22.55
linear,facebook,4543.77,22.72,200,22.72
linear,google_search,7574.52,25.5,297,25.5
linear,instagram,4184.84,23.25,180,23.25
linear,organic,3904.56,22.57,173,22.57
linear,tiktok,4671.39,23.36,200,23.36
position_based,display,4439.26,23.49,189,23.49
position_based,email,4300.52,22.17,194,22.17
position_based,facebook,4680.19,23.4,200,23.4
position_based,google_search,7697.36,25.92,297,25.92
position_based,instagram,4592.67,25.51,180,25.51
position_based,organic,3429.93,19.83,173,19.83
position_based,tiktok,4560.07,22.8,200,22.8
time_decay,display,4554.14,24.1,189,24.1
time_decay,email,4279.73,22.06,194,22.06
time_decay,facebook,4276.72,21.38,200,21.38
time_decay,google_search,8704.75,29.31,297,29.31
time_decay,instagram,4017.21,22.32,180,22.32
time_decay,organic,3275.19,18.93,173,18.93
time_decay,tiktok,4592.25,22.96,200,22.96
