model,channel,total_credit,touchpoints,credit_per_touch,roi_potential
last_click,display,4400.0,44,100.0,100.0
last_click,email,3900.0,39,100.0,100.0
last_click,facebook,4200.0,42,100.0,100.0
last_click,google_search,10300.0,103,100.0,100.0
last_click,instagram,4100.0,41,100.0,100.0
last_click,organic,2500.0,25,100.0,100.0
last_click,tiktok,4300.0,43,100.0,100.0
linear,display,4446.746031746032,189,23.527756781725035,23.52775678172504
linear,email,4374.166666666667,194,22.54725085910653,22.54725085910653
linear,facebook,4543.769841269841,200,22.718849206349205,22.718849206349205
linear,google_search,7574.52380952381,297,25.503447170113837,25.50344717011384
linear,instagram,4184.84126984127,180,23.249118165784836,23.249118165784836
linear,organic,3904.563492063492,173,22.569731167997062,22.569731167997066
linear,tiktok,4671.388888888889,200,23.356944444444444,23.356944444444444
time_decay,display,4554.141453806243,189,24.095986528075358,24.095986528075358
time_decay,email,4279.732029728392,194,22.06047438004326,22.06047438004326
time_decay,facebook,4276.7179350406595,200,21.383589675203297,21.3835896752033
time_decay,google_search,8704.753995435598,297,29.30893601156767,29.30893601156767
time_decay,instagram,4017.213379944002,180,22.31785211080001,22.31785211080001
time_decay,organic,3275.1926388129177,173,18.931749357300102,18.931749357300102
time_decay,tiktok,4592.248567232185,200,22.961242836160928,22.961242836160928
position_based,display,4439.261904761905,189,23.488158226253464,23.488158226253464
position_based,email,4300.523809523809,194,22.167648502700047,22.167648502700047
position_based,facebook,4680.190476190476,200,23.40095238095238,23.40095238095238
position_based,google_search,7697.357142857143,297,25.917027417027416,25.917027417027416
position_based,instagram,4592.666666666667,180,25.514814814814816,25.51481481481482
position_based,organic,3429.928571428571,173,19.826176713459947,19.826176713459947
position_based,tiktok,4560.071428571428,200,22.80035714285714,22.80035714285714
